"Date","Time","Open","High","Low","Close","Vol","OI","CompositeRSI","HurstExponent"
10/19/2023,16:00,36892,37054,36556,36611,286548,100018,24.95,39.92
10/20/2023,16:00,36594,36623,36284,36322,196250,100578,20.94,37.87
10/23/2023,16:00,36363,36430,36077,36131,201983,101819,19.18,36.60
10/24/2023,16:00,36194,36484,36119,36333,205763,104098,43.61,37.04
10/25/2023,16:00,36409,36453,36162,36214,229828,105434,34.44,37.74
10/26/2023,16:00,36225,36268,35896,35940,246580,107526,23.57,41.90
10/27/2023,16:00,35991,36072,35473,35568,235224,112973,18.41,49.95
10/30/2023,16:00,35606,36158,35570,36081,206160,106103,52.31,49.61
10/31/2023,16:00,36089,36284,35932,36199,189649,103373,57.02,50.56
11/01/2023,16:00,36151,36482,36054,36415,195524,101916,64.49,50.19
11/02/2023,16:00,36422,36998,36402,36978,187248,104141,72.79,48.83
11/03/2023,16:00,36953,37296,36949,37201,149458,103540,74.67,50.29
11/06/2023,16:00,37234,37294,37115,37228,112890,103236,74.91,51.74
11/07/2023,16:00,37196,37332,37095,37279,113604,102625,75.47,52.07
11/08/2023,16:00,37296,37379,37116,37237,118364,100154,61.71,52.31
11/09/2023,16:00,37223,37347,36979,37008,158262,98825,33.79,53.03
11/10/2023,16:00,37044,37437,36977,37402,148243,99516,65.49,53.84
11/13/2023,16:00,37363,37525,37267,37449,108073,99738,67.40,56.11
11/14/2023,16:00,37449,38048,37398,37951,158881,100058,77.12,62.35
11/15/2023,16:00,37988,38167,37962,38114,143752,99362,78.57,64.68
11/16/2023,16:00,38109,38155,37943,38083,149538,96470,72.98,65.93
11/17/2023,16:00,38115,38232,38008,38076,116814,95023,70.87,67.25
11/20/2023,16:00,38042,38356,38026,38289,103045,94089,78.54,68.82
11/21/2023,16:00,38296,38311,38160,38212,89148,93248,61.32,69.81
11/22/2023,16:00,38205,38424,38183,38382,113372,94443,73.60,70.82
11/24/2023,16:00,38376,38504,38345,38494,84103,95441,77.40,72.73
11/27/2023,16:00,38492,38520,38379,38437,99659,96021,62.70,74.14
11/28/2023,16:00,38437,38612,38383,38509,119100,96880,71.14,72.87
11/29/2023,16:00,38511,38705,38511,38552,143804,94435,74.89,73.38
11/30/2023,16:00,38647,39091,38627,39074,173506,97205,83.10,73.23
12/01/2023,16:00,39050,39402,39027,39367,160637,97712,84.52,71.42
12/04/2023,16:00,39382,39396,39157,39332,154837,96782,78.93,71.67
12/05/2023,16:00,39313,39313,39130,39253,151783,91043,63.86,71.53
12/06/2023,16:00,39236,39416,39140,39176,132913,91590,51.63,71.49
12/07/2023,16:00,39176,39274,39085,39230,7235,6807,63.02,71.93
12/08/2023,16:00,39211,39399,39070,39344,129808,6807,75.77,72.16
12/11/2023,16:00,39347,39519,39303,39507,116298,42230,81.63,70.98
12/12/2023,16:00,39512,39731,39459,39668,140039,72398,83.94,72.07
12/13/2023,16:00,39691,40233,39618,40189,151178,82366,86.77,71.67
12/14/2023,16:00,40189,40397,40124,40344,185111,89354,87.33,73.62
12/15/2023,16:00,40311,40485,40225,40362,158088,93658,87.40,73.64
12/18/2023,16:00,40361,40473,40347,40379,93800,95920,87.47,74.00
12/19/2023,16:00,40363,40641,40338,40632,91047,100059,88.37,74.47
12/20/2023,16:00,40619,40713,40091,40146,142851,97877,46.73,72.29
12/21/2023,16:00,40168,40466,40163,40457,141401,97260,66.13,69.63
12/22/2023,16:00,40402,40579,40286,40441,106912,97423,64.52,68.40
12/26/2023,16:00,40395,40663,40394,40595,55134,98276,74.93,67.64
12/27/2023,16:00,40615,40727,40519,40707,90396,100983,79.71,66.08
12/28/2023,16:00,40711,40790,40626,40730,78092,102765,80.70,65.45
12/29/2023,16:00,40729,40790,40542,40713,91586,102077,72.70,60.25
01/02/2024,16:00,40683,40814,40459,40694,149794,103065,62.15,60.01
01/03/2024,16:00,40702,40715,40365,40398,167097,100567,35.77,59.37
01/04/2024,16:00,40415,40686,40400,40416,130813,102782,40.51,58.89
01/05/2024,16:00,40452,40583,40205,40420,150701,103764,42.31,58.32
01/08/2024,16:00,40375,40647,40171,40634,129740,106112,76.70,56.78
01/09/2024,16:00,40600,40603,40308,40464,125237,102939,51.09,52.01
01/10/2024,16:00,40444,40685,40399,40637,117172,101624,68.75,48.01
01/11/2024,16:00,40622,40739,40328,40628,180614,100419,66.80,43.13
01/12/2024,16:00,40601,40732,40352,40493,165079,98943,45.02,27.54
01/16/2024,16:00,40438,40531,40089,40254,222543,97808,34.05,26.76
01/17/2024,16:00,40242,40260,40016,40159,142478,97699,31.82,30.04
01/18/2024,16:00,40154,40409,40004,40360,161810,98320,61.31,29.13
01/19/2024,16:00,40346,40834,40298,40746,164024,99557,76.51,28.82
01/22/2024,16:00,40749,41003,40749,40900,133217,101974,79.27,36.79
01/23/2024,16:00,40897,40910,40677,40790,106698,99252,62.67,37.23
01/24/2024,16:00,40804,40954,40651,40680,140541,98818,49.38,37.18
01/25/2024,16:00,40757,40920,40612,40911,153939,100906,70.45,36.98
01/26/2024,16:00,40860,41075,40751,40959,132494,102348,73.12,38.73
01/29/2024,16:00,40910,41199,40858,41189,96393,105234,80.39,41.51
01/30/2024,16:00,41133,41345,41087,41313,107240,107441,82.23,45.31
01/31/2024,16:00,41269,41421,40948,40981,183773,104072,46.08,46.59
02/01/2024,16:00,40989,41362,40913,41326,151960,105743,68.35,46.12
02/02/2024,16:00,41299,41593,41134,41466,150153,106486,73.60,49.15
02/05/2024,16:00,41454,41498,41011,41167,145439,102635,47.89,48.66
02/06/2024,16:00,41152,41334,41068,41314,110199,103874,60.58,49.62
02/07/2024,16:00,41292,41544,41247,41475,107428,107613,70.63,49.75
02/08/2024,16:00,41490,41548,41328,41525,92746,107824,73.38,50.06
02/09/2024,16:00,41496,41680,41346,41449,109918,106475,56.59,52.21
02/12/2024,16:00,41414,41713,41380,41585,101088,108790,72.09,53.08
02/13/2024,16:00,41564,41598,40796,41034,193343,102814,35.30,51.40
02/14/2024,16:00,41038,41227,40956,41195,131924,101658,50.15,51.28
02/15/2024,16:00,41191,41567,41156,41559,123765,103711,69.15,44.95
02/16/2024,16:00,41559,41610,41354,41398,129456,102433,54.85,37.87
02/20/2024,16:00,41359,41448,41224,41343,182425,101683,49.69,38.02
02/21/2024,16:00,41378,41450,41101,41378,138637,101403,55.67,37.48
02/22/2024,16:00,41337,41915,41334,41824,161911,106011,77.64,41.83
02/23/2024,16:00,41803,42044,41788,41890,117174,104830,78.71,41.81
02/26/2024,16:00,41888,41991,41771,41817,86428,105031,63.92,41.10
