Date,Time,Open,High,Low,Close,Vol,OI
03/04/2008,16:00,1009.2,1011.2,992.6,1003.9,33343,110698
03/05/2008,16:00,1004.4,1014.8,1001.4,1009.9,37233,111926
03/06/2008,16:00,1009.1,1014.8,984.8,987.5,34187,115242
03/07/2008,16:00,986.0,992.9,972.6,979.9,35236,115956
03/10/2008,16:00,978.5,984.1,963.6,966.4,32281,116841
03/11/2008,16:00,965.9,992.0,964.2,991.7,36770,115101
03/12/2008,16:00,991.1,998.0,983.9,985.7,40225,104886
03/13/2008,16:00,978.6,996.7,969.7,993.2,47131,47401
03/14/2008,16:00,991.4,1005.6,971.6,983.5,75106,66033
03/17/2008,16:00,979.7,994.9,955.2,962.5,66858,77090
03/18/2008,16:00,963.2,995.6,961.5,994.6,48050,85626
03/19/2008,16:00,993.7,1000.2,970.1,970.9,37969,91591
03/20/2008,16:00,970.8,988.4,965.6,982.1,34076,94254
03/24/2008,16:00,981.0,1011.4,981.0,1006.8,17767,94640
03/25/2008,16:00,1006.9,1015.8,1002.7,1012.1,24778,93682
03/26/2008,16:00,1011.3,1012.6,1002.1,1002.4,19289,92943
03/27/2008,16:00,1002.4,1010.3,996.1,996.5,26863,93239
03/28/2008,16:00,997.4,1002.0,988.6,992.5,17857,93666
03/31/2008,16:00,993.1,999.7,987.3,998.5,35688,100457
04/01/2008,16:00,996.3,1023.8,993.0,1022.5,25156,97033
04/02/2008,16:00,1022.6,1032.7,1018.3,1026.9,27495,94118
04/03/2008,16:00,1026.2,1032.1,1019.8,1030.5,19473,92606
04/04/2008,16:00,1030.4,1040.4,1027.4,1032.7,20030,91709
04/07/2008,16:00,1032.5,1043.2,1031.8,1033.1,16206,91833
04/08/2008,16:00,1033.5,1038.0,1028.0,1036.6,18451,91102
04/09/2008,16:00,1037.1,1039.2,1019.8,1023.0,19616,90531
04/10/2008,16:00,1023.2,1034.4,1018.5,1032.5,18559,90338
04/11/2008,16:00,1032.5,1037.1,1015.3,1017.8,17501,90253
04/14/2008,16:00,1017.9,1020.7,1011.4,1016.5,14484,90240
04/15/2008,16:00,1017.1,1021.4,1012.0,1019.2,14456,89982
04/16/2008,16:00,1022.8,1044.9,1021.8,1044.0,22732,89725
04/17/2008,16:00,1044.8,1044.8,1034.4,1041.4,15219,88564
04/18/2008,16:00,1039.2,1056.5,1039.2,1047.6,20135,87935
04/21/2008,16:00,1048.1,1053.9,1044.2,1051.6,14893,87771
04/22/2008,16:00,1051.3,1052.7,1035.9,1042.7,17118,87760
04/23/2008,16:00,1043.0,1048.1,1038.5,1041.5,15822,88267
04/24/2008,16:00,1042.3,1054.3,1034.4,1045.9,20735,88615
04/25/2008,16:00,1046.2,1063.2,1043.1,1061.4,20279,89501
04/28/2008,16:00,1060.6,1066.8,1056.9,1062.8,14463,89032
04/29/2008,16:00,1062.2,1063.4,1054.0,1058.2,15703,89540
04/30/2008,16:00,1056.6,1069.2,1054.7,1057.1,30823,91724
05/01/2008,16:00,1056.0,1068.7,1052.9,1068.4,25077,92785
05/02/2008,16:00,1067.7,1076.9,1065.0,1068.8,27767,88823
05/05/2008,16:00,1067.5,1070.1,1057.1,1066.5,16343,87988
05/06/2008,16:00,1066.6,1076.8,1061.5,1075.8,21480,88721
05/07/2008,16:00,1075.6,1078.6,1063.2,1066.0,22253,88322
05/08/2008,16:00,1065.2,1071.6,1063.3,1067.9,21200,89125
05/09/2008,16:00,1066.4,1072.8,1062.4,1070.6,17822,88721
05/12/2008,16:00,1069.3,1081.5,1066.9,1080.2,18160,89676
05/13/2008,16:00,1081.1,1087.3,1077.6,1087.2,15881,90132
05/14/2008,16:00,1086.6,1096.9,1085.2,1087.6,17601,90292
05/15/2008,16:00,1087.6,1099.5,1086.9,1099.4,17561,90240
05/16/2008,16:00,1098.5,1103.7,1093.5,1101.2,20377,90128
05/19/2008,16:00,1101.0,1109.0,1095.4,1100.9,22019,89845
05/20/2008,16:00,1100.1,1101.0,1091.4,1099.4,24708,90430
05/21/2008,16:00,1099.0,1104.0,1082.7,1085.5,33711,91054
05/22/2008,16:00,1085.1,1090.5,1083.3,1085.5,26032,92853
05/23/2008,16:00,1086.0,1086.6,1070.9,1074.4,8353,92924
05/27/2008,16:00,1074.4,1084.4,1073.1,1082.0,21594,94106
05/28/2008,16:00,1081.4,1091.2,1080.5,1090.8,26688,95740
05/29/2008,16:00,1089.6,1099.1,1087.9,1091.9,24433,96941
05/30/2008,16:00,1091.8,1100.5,1089.7,1099.5,25785,95339
06/02/2008,16:00,1098.9,1100.3,1085.9,1091.3,28523,95049
06/03/2008,16:00,1091.6,1100.5,1084.2,1093.5,34133,96430
