Date,Close,High,Low,Open,Vol,Session
2020-07-15,2116.6,2122.9,2076.8,2081.8,17023,
2020-07-16,2108.6,2126.1,2096.3,2122.8,13173,
2020-07-17,2116.5,2122.7,2103.8,2107.2,9616,
2020-07-20,2105.8,2118.1,2096.3,2112.5,9872,
2020-07-21,2129.6,2141.6,2103.6,2108.4,11448,
2020-07-22,2143.2,2154.0,2111.2,2128.6,10056,
2020-07-23,2145.8,2168.8,2130.3,2147.9,13018,
2020-07-24,2130.0,2154.5,2126.4,2151.5,10922,
2020-07-27,2148.0,2149.9,2122.4,2134.6,9627,
2020-07-28,2129.7,2154.4,2128.2,2149.1,9146,
2020-07-29,2170.4,2173.7,2129.2,2135.9,8876,
2020-07-30,2157.7,2172.2,2129.1,2169.8,15384,
2020-07-31,2145.0,2163.6,2116.7,2163.6,20346,
2020-08-03,2166.9,2169.7,2137.5,2146.4,13553,
2020-08-04,2175.7,2178.5,2156.5,2168.7,10129,
2020-08-05,2202.6,2203.9,2174.8,2177.5,10021,
2020-08-06,2196.1,2209.9,2189.2,2200.5,11595,
2020-08-07,2220.3,2222.6,2183.8,2194.5,11595,
2020-08-10,2228.9,2238.4,2214.8,2216.3,10474,
2020-08-11,2227.0,2258.0,2222.1,2229.1,13865,
2020-08-12,2240.0,2251.3,2229.7,2235.0,11609,
2020-08-13,2235.6,2246.0,2227.7,2238.9,10366,
2020-08-14,2232.1,2243.0,2218.0,2236.3,10366,
2020-08-17,2237.2,2243.0,2229.8,2231.3,9687,
2020-08-18,2219.6,2241.2,2214.5,2235.3,12238,
2020-08-19,2211.0,2227.7,2208.0,2219.6,11734,
2020-08-20,2199.2,2210.4,2187.6,2208.5,10251,
2020-08-21,2193.1,2202.6,2178.7,2199.7,10251,
2020-08-24,2221.2,2222.1,2194.0,2194.1,11029,
2020-08-25,2218.9,2237.4,2203.1,2220.5,14030,
2020-08-26,2211.5,2221.5,2207.0,2218.3,9106,
2020-08-27,2219.1,2228.2,2208.2,2212.1,10986,
2020-08-28,2230.3,2239.6,2214.8,2225.2,10986,
2020-08-31,2210.3,2241.8,2207.7,2233.5,13529,
2020-09-01,2224.5,2227.1,2191.2,2211.8,12866,
2020-09-02,2250.5,2254.5,2219.9,2226.4,15393,
2020-09-03,2189.5,2254.5,2178.6,2248.6,25386,
2020-09-04,2180.7,2219.4,2142.5,2194.6,25386,
2020-09-08,2138.2,2203.5,2131.9,2198.1,27876,
2020-09-09,2163.7,2172.9,2114.1,2129.7,88,
2020-09-10,2140.5,2185.6,2138.8,2159.9,9568,
2020-09-11,2138.3,2158.1,2121.6,2147.4,41721,
2020-09-14,2176.6,2180.0,2145.5,2146.3,41515,
2020-09-15,2177.2,2193.9,2170.1,2170.1,19826,
2020-09-16,2183.6,2207.5,2175.3,2177.4,13416,
2020-09-17,2172.6,2189.0,2146.8,2189.0,12380,
2020-09-18,2151.6,2181.8,2134.9,2174.2,15549,
2020-09-21,2104.2,2159.0,2082.2,2151.1,15801,
2020-09-22,2118.3,2122.6,2096.7,2109.0,11983,
2020-09-23,2075.8,2133.2,2074.8,2114.1,14764,
2020-09-24,2075.7,2099.6,2051.1,2081.3,14844,
2020-09-25,2102.0,2106.1,2054.0,2081.0,11974,
2020-09-28,2143.9,2149.8,2102.9,2106.0,11996,
2020-09-29,2133.9,2153.8,2121.6,2150.3,11823,
2020-09-30,2146.2,2164.5,2116.6,2139.4,18692,
2020-10-01,2170.2,2171.4,2139.9,2139.9,13475,
2020-10-02,2188.1,2195.7,2129.1,2167.1,14852,
2020-10-05,2232.5,2233.4,2194.2,2200.3,11985,
2020-10-06,2223.1,2268.6,2213.3,2229.6,20725,
2020-10-07,2257.1,2263.1,2215.7,2218.9,12035,
2020-10-08,2277.1,2282.5,2258.8,2258.8,9200,
2020-10-09,2282.9,2297.0,2275.5,2284.2,12382,
2020-10-12,2295.6,2301.0,2281.3,2284.0,10864,
2020-10-13,2280.3,2299.3,2274.9,2299.3,12440,
2020-10-14,2269.9,2296.2,2268.6,2279.7,10747,
2020-10-15,2289.3,2292.8,2241.2,2273.9,11311,
2020-10-16,2284.4,2302.2,2278.2,2291.8,9285,
2020-10-19,2260.3,2300.5,2256.4,2284.5,9807,
2020-10-20,2271.0,2291.7,2260.4,2271.7,11672,
2020-10-21,2257.0,2283.5,2256.6,2271.3,12007,
2020-10-22,2290.1,2295.2,2242.7,2257.0,12168,
2020-10-23,2302.3,2307.9,2281.3,2296.8,12168,
2020-10-26,2259.1,2293.2,2236.5,2293.2,12511,
2020-10-27,2233.6,2269.4,2223.6,2258.3,9728,
2020-10-28,2180.5,2227.2,2179.8,2227.2,16693,
2020-10-29,2200.1,2209.7,2164.9,2189.7,22126,
2020-10-30,2185.9,2199.9,2157.7,2189.2,18983,
2020-11-02,2222.4,2225.3,2173.3,2185.7,14994,
2020-11-03,2267.0,2274.7,2222.1,2222.6,13072,
2020-11-04,2267.1,2297.1,2200.3,2272.0,13798,
2020-11-05,2324.5,2329.5,2253.5,2273.6,13665,
2020-11-06,2313.5,2333.1,2298.2,2326.5,9772,
2020-11-09,2371.0,2481.5,2322.3,2327.2,18631,
2020-11-10,2396.4,2414.5,2355.9,2376.5,16551,
2020-11-11,2393.9,2411.9,2379.2,2402.4,9623,
2020-11-12,2357.1,2398.0,2341.2,2398.0,13165,
2020-11-13,2402.1,2405.6,2344.1,2360.7,10948,
2020-11-16,2443.6,2455.3,2409.5,2411.3,13332,
2020-11-17,2448.5,2455.9,2410.4,2444.4,9558,
2020-11-18,2419.3,2465.2,2414.4,2444.3,11884,
2020-11-19,2438.5,2439.6,2404.5,2419.2,11459,
2020-11-20,2436.3,2442.6,2412.5,2419.9,9348,
2020-11-23,2469.8,2480.0,2428.2,2429.4,11021,
2020-11-24,2506.9,2513.4,2468.7,2468.7,12700,
2020-11-25,2491.0,2518.2,2479.2,2508.3,12862,
2020-11-27,2495.6,2499.5,2476.0,2483.7,7127,
2020-11-30,2458.7,2502.3,2454.3,2500.3,18639,
2020-12-01,2484.3,2497.3,2464.5,2467.0,15076,
2020-12-02,2480.8,2486.7,2463.1,2480.0,15276,
2020-12-03,2493.0,2506.5,2474.2,2484.5,10447,
2020-12-04,2534.7,2536.5,2494.2,2494.3,10447,
2020-12-07,2526.0,2542.8,2516.6,2534.6,11055,
2020-12-08,2538.6,2542.2,2505.5,2521.7,14837,
2020-12-09,2529.3,2554.5,2516.1,2543.9,1286,
2020-12-10,2539.4,2542.1,2512.6,2533.9,10268,
2020-12-11,2532.7,2548.2,2507.1,2544.0,38761,
